 0.000   0.000  -1.000   -0.360
-0.340   0.340  -0.877   -0.626
-0.480   0.000  -0.877   -0.626
-0.340  -0.340  -0.877   -0.626
 0.000  -0.480  -0.877   -0.626
 0.340  -0.340  -0.877   -0.626
 0.480   0.000  -0.877   -0.626
 0.340   0.340  -0.877   -0.626
 0.000   0.480  -0.877   -0.626
 0.2943 -0.7105 -0.6416  -0.7686
 0.7105 -0.2943 -0.6416  -0.7686
 0.7105  0.2943 -0.6416  -0.7686
 0.2943  0.7105 -0.6416  -0.7686
-0.2943  0.7105 -0.6416  -0.7686
-0.7105  0.2943 -0.6416  -0.7686
-0.7105 -0.2943 -0.6416  -0.7686
-0.2943 -0.7105 -0.6416  -0.7686
-0.1712  0.8607 -0.481   -0.860
-0.4873  0.7293 -0.481   -0.860
-0.7293  0.4873 -0.481   -0.860
-0.8607  0.1712 -0.481   -0.860
-0.8607 -0.1712 -0.481   -0.860
-0.7293 -0.4873 -0.481   -0.860
-0.4873 -0.7293 -0.481   -0.860
-0.1712 -0.8607 -0.481   -0.860
 0.1712 -0.8607 -0.481   -0.860
 0.4873 -0.7293 -0.481   -0.860
 0.7293 -0.4873 -0.481   -0.860
 0.8607 -0.1712 -0.481   -0.860
 0.8607  0.1712 -0.481   -0.860
 0.7293  0.4873 -0.481   -0.860
 0.4873  0.7293 -0.481   -0.860
 0.1712  0.8607 -0.481   -0.860
-0.2733  0.6598  0.699   -0.7136
-0.6598  0.2733  0.699   -0.7136
-0.6598 -0.2733  0.699   -0.7136
-0.2733 -0.6598  0.699   -0.7136
 0.2733 -0.6598  0.699   -0.7136
 0.6598 -0.2733  0.699   -0.7136
 0.6598  0.2733  0.699   -0.7136
 0.2733  0.6598  0.699   -0.7136
-0.6202  0.4144  0.666   -0.7313
-0.4144  0.6202  0.666   -0.7313
-0.1457  0.7325  0.666   -0.7313
 0.1457  0.7325  0.666   -0.7313
-0.7325 -0.1457  0.666   -0.7313
-0.7325  0.1457  0.666   -0.7313
 0.4144  0.6202  0.666   -0.7313
 0.6202  0.4144  0.666   -0.7313
 0.7325 -0.1457  0.666   -0.7313
 0.7325  0.1457  0.666   -0.7313
 0.6202 -0.4144  0.666   -0.7313
 0.4144 -0.6202  0.666   -0.7313
 0.1457 -0.7325  0.666   -0.7313
-0.1457 -0.7325  0.666   -0.7313
-0.4144 -0.6202  0.666   -0.7313
-0.6202 -0.4144  0.666   -0.7313
