 0.363   9.334   3.570    -12.0
-0.363  -9.334  -3.570    -12.0
-3.197  -1.603  -9.338    -12.0
 3.197   1.703   9.338    -12.0
 1.101  -7.731   6.247    -12.0
-1.101   7.731  -6.247    -12.0
 1.595   8.001   5.783    -13.2
-1.595  -8.001  -5.783    -13.2
-1.045   9.195  -3.789    -13.2
 1.045  -9.195   3.789    -13.2
 2.640  -1.194   9.571    -13.2
-2.640   1.194  -9.571    -13.2
 1.077  -5.964   7.955    -13.4
-1.077   5.964  -7.955    -13.4
-0.722   9.871   1.431    -13.4
 0.722  -9.871  -1.431    -13.4
-3.468  -3.907  -8.527    -13.4
 3.468   3.907   8.527    -13.4
-9.640   0.000   2.659    -14.0
 9.640   0.000  -2.659    -14.0
-3.580   3.873  -8.496    -14.0
 3.580  -3.873   8.496    -14.0
-0.826  -9.854   1.490    -14.0
 0.826   9.854  -1.490    -14.0
 0.958   5.981   7.957    -14.0
-0.958  -5.981  -7.957    -14.0
 0.039  -5.863   8.101    -14.2
-0.039   5.863  -8.101    -14.2
-4.429  -3.841  -8.101    -14.2
 4.429   3.841   8.101    -14.2
-1.730   9.704   1.688    -14.2
 1.730  -9.704  -1.688    -14.2
-2.185  -7.140   6.652    -15.2
 2.185   7.140  -6.652    -15.2
-6.155  -1.481  -7.741    -15.2
 6.155   1.481   7.741    -15.2
-2.867   8.620   4.180    -15.2
 2.867  -8.620  -4.180    -15.2
-1.892   7.492   6.348    -15.4
 1.892  -7.492  -6.348    -15.4
-2.407  -8.610   4.481    -15.4
 2.407   8.610  -4.481    -15.4
-5.856   1.118  -8.028    -15.4
 5.856  -1.118   8.028    -15.4
-4.363   8.610  -2.614    -15.6
 4.363  -8.610   2.614    -15.6
-4.878  -7.492  -4.481    -15.6
 4.878   7.492   4.481    -15.6
-0.913  -1.118   9.895    -15.6
 0.913   1.118  -9.895    -15.6
-1.879  -5.505   8.135    -15.8
 1.879   5.505  -8.135    -15.8
 6.074   3.606   7.078    -15.8
-6.074  -3.606  -7.078    -15.8
-3.539   9.111   2.113    -15.8
 3.539  -9.111  -2.113    -15.8
-4.173   9.045  -0.886    -15.8
 4.173  -9.045   0.886    -15.8
-1.307  -2.822   9.504    -15.8
 1.307   2.822  -9.504    -15.8
-5.472  -6.223  -5.598    -15.8
 5.472   6.223   5.598    -15.8
